,user_id,feature
0,235261,[0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1]
1,238363,[0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0]
2,206333,[0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0]
3,261821,[0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0]
4,241874,[0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1]
5,273863,[0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0]
6,222963,[0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1]
7,242610,[0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1]
8,241715,[0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0]
9,271870,[0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0]
10,261591,[0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0]
11,248598,[0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0]
12,266166,[0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0]
13,277605,[0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1]
14,232720,[0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0]
15,236546,[0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0]
16,232350,[0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0]
17,204328,[0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0]
18,304963,[0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0]
19,289124,[0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0]
20,205499,[0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0]
21,228415,[0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0]
22,274479,[0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0]
23,222158,[0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0]
24,208413,[0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1]
25,229538,[0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1]
26,253191,[0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0]
27,210895,[0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1]
28,215346,[0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0]
29,203961,[0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0]
30,229508,[0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1]
31,290726,[0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1]
32,238396,[0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1]
33,269629,[0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0]
34,280600,[0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1]
35,208884,[0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1]
36,232287,[0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0]
37,241108,[0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0]
38,269387,[0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0]
39,268646,[0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0]
40,262590,[0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0]
41,245809,[0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0]
42,231625,[0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0]
43,273211,[0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1]
44,249345,[0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0]
45,270132,[0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0]
